StartDate,EndDate,Pupil,Phase,Progress,Classroom,ID,Clothing,Facemask,NumberOpenings,ThermalSatisfaction,IAQSatisfaction,AcousticSatisfaction,VisualSatisfaction,IEQSatisfaction,LocationBack,LocationFront,LocationMiddle,LocationWindow,LocationHallway,LocationDoor,Timing_StartDay,Timing_BeforeMorningBreak,Timing_AfterMorningBreak,Timing_AfterAfternoonBreak,Timing_EndDay,Moment,Thermal_Cold,Thermal_Warm,Thermal_Draft,Thermal_Facemask,Thermal_ColdHands,IAQ_Stuffy,IAQ_Smell,IAQ_Humid,IAQ_Facemask,IAQ_Dry,IAQ_Headache,AC_NoiseClassroom,AC_NoiseHallway,AC_NoisePlayground,AC_NoiseStreet,AC_NoiseDevice,AC_NoiseOtherClass,AC_NoisePupils,Vis_Underexposure,Vis_Overexposure,Vis_Glare,Vis_Blackboard,Mobility_Foot,Mobility_Bike,Mobility_Car,Mobility_PublicTransport,Mobility_Step,WindowOpening_OneTilted,WindowOpening_MultipleTilted,WindowOpening_OneOpened,WindowOpening_MultipleOpened,WindowOpening_None,CourseType_TheoryCourse,CourseType_Exercises,CourseType_GroupWork,CourseType_Crafting,CourseType_Test,CourseType_Presentation,CourseType_CoTeaching,CourseType_NoCourse,CourseType_Other,DateTime_netatmo,T_netatmo,RH_netatmo,CO2_netatmo,Sound_netamo,Pressure_netatmo,EA_netatmo,Trend_T_netatmo,DateTime_netatmo2,T_netatmo2,RH_netatmo2,DateTime_hobou12,T_hobou12,RH_hobou12,lx_hobou12,Tdew_hobou12,Gender,Age
12/11/2021 13:21,12/11/2021 13:23,True,1,100,D,PS_D15,Warmly,True,2,3,2,4,4,3,True,False,False,True,False,False,False,False,False,True,False,Start,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,12/11/2021 13:23,19.3,42,575,61,1016.6,34.105,,12/11/2021 13:22,19.8,41,12/11/2021 13:21,21.199,38.118,,6.695,Male,11
12/11/2021 13:21,12/11/2021 13:23,True,1,100,D,PS_D18,Warmly,True,3,4,1,5,5,5,False,True,False,True,False,True,False,False,False,True,False,Start,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,12/11/2021 13:23,19.3,42,575,61,1016.6,34.105,,12/11/2021 13:22,19.8,41,12/11/2021 13:21,21.199,38.118,,6.695,Male,11
12/11/2021 13:22,12/11/2021 13:24,True,1,100,D,PS_D16,Neutral,True,2,3,4,3,4,5,True,False,False,True,False,False,False,False,False,True,False,Start,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,12/11/2021 13:23,19.3,42,575,61,1016.6,34.105,,12/11/2021 13:22,19.8,41,12/11/2021 13:21,21.199,38.118,,6.695,Female,11
12/11/2021 13:22,12/11/2021 15:18,True,1,100,D,PS_D10,Warmly,True,3,4,3,5,4,4,False,False,False,False,True,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,12/11/2021 13:23,19.3,42,575,61,1016.6,34.105,,12/11/2021 13:22,19.8,41,12/11/2021 13:21,21.199,38.118,,6.695,Female,10
12/11/2021 13:23,12/11/2021 15:17,True,1,100,D,PS_D13,Lightly,True,3,4,2,3,1,2,False,True,True,False,False,False,False,False,False,False,True,End,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 13:23,19.3,42,575,61,1016.6,34.105,,12/11/2021 13:22,19.8,41,12/11/2021 13:21,21.199,38.118,,6.695,Female,11
12/11/2021 15:15,12/11/2021 15:17,True,1,100,D,PS_D19,Warmly,True,3,2,2,1,4,2,False,False,False,False,False,True,False,False,False,False,True,End,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:14,20.4,41,589,78,1014.6,35.923,,12/11/2021 15:13,20.7,39,12/11/2021 15:16,21.628,36.917,,6.607,Male,11
12/11/2021 15:15,12/11/2021 15:18,True,1,100,D,PS_D4,Neutral,True,3,3,3,3,4,4,False,True,True,False,False,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,,True,12/11/2021 15:14,20.4,41,589,78,1014.6,35.923,,12/11/2021 15:13,20.7,39,12/11/2021 15:16,21.628,36.917,,6.607,Male,10
12/11/2021 15:16,12/11/2021 15:18,True,1,100,D,PS_D15,Warmly,True,2,3,2,3,4,3,True,False,False,True,False,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:14,20.4,41,589,78,1014.6,35.923,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Male,11
12/11/2021 15:16,12/11/2021 15:20,True,1,100,D,PS_D18,Warmly,True,3,5,2,3,5,4,False,True,False,True,False,True,False,False,False,False,True,End,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:14,20.4,41,589,78,1014.6,35.923,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Male,11
12/11/2021 15:17,12/11/2021 15:19,True,1,100,D,PS_D9,Neutral,True,3,5,3,1,4,4,False,False,False,False,True,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Male,11
12/11/2021 15:17,12/11/2021 15:19,True,1,100,D,PS_D8,Warmly,True,3,1,4,2,5,1,False,True,True,False,False,False,False,False,False,False,True,End,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Female,11
12/11/2021 15:18,12/11/2021 15:21,True,1,100,D,PS_D17,Warmly,True,4,5,5,5,5,5,False,True,False,False,False,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Male,11
12/11/2021 15:18,12/11/2021 15:20,True,1,100,D,PS_D14,Neutral,True,3,5,5,4,5,4,True,False,False,True,True,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Female,11
12/11/2021 15:18,12/11/2021 15:20,True,1,100,D,PS_D3,Neutral,True,2,4,3,4,4,4,True,False,False,False,False,True,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:16,21.628,36.917,,6.607,Female,11
12/11/2021 15:20,12/11/2021 15:22,True,1,100,D,PS_D2,Neutral,True,3,4,4,3,2,5,False,True,False,False,False,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:21,21.652,36.952,,6.642,Female,10
12/11/2021 15:20,12/11/2021 15:22,True,1,100,D,PS_D16,Neutral,True,2,3,3,4,5,5,True,False,False,True,False,False,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:21,21.652,36.952,,6.642,Female,11
12/11/2021 15:20,12/11/2021 15:23,True,1,100,D,PS_D1,Warmly,True,2,4,4,5,4,4,False,False,False,True,False,True,False,False,False,False,True,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,,True,12/11/2021 15:19,20.4,41,610,64,1014.5,35.925,,12/11/2021 15:18,20.7,40,12/11/2021 15:21,21.652,36.952,,6.642,Female,12
